ID,Price
2022,20952.409783797422
2267,17259.002968037046
45,13487.963678761007
1255,17757.677506248878
1469,18704.432006027313
2658,15452.051437609085
2138,21092.933011889414
2894,20529.50186674104
3992,20560.788796894147
1552,16710.40050332956
1288,15760.311565187121
4077,19681.436593651335
4438,25582.954087349262
3341,19561.271574677314
4451,25198.681918394424
3237,21421.08439509122
141,19477.38587670884
655,13436.700747327846
4528,23382.3274596688
4084,19526.94885807573
1244,19628.788802546645
3692,20483.314622218557
463,14306.2690762338
3078,21506.76797466268
1010,15983.090750421428
2372,17469.59520595761
4075,19214.83011931604
1313,15656.833225668142
174,19606.827559440862
4032,19570.144972752583
1926,21295.189914560404
410,14260.166166224508
2792,24232.435322050133
1842,26196.04333100211
3464,19982.261976252645
1402,24779.441514215232
2254,17122.98860674609
2225,17084.90737456697
2347,19829.111094356827
620,13369.438097117982
2457,16289.562619422722
2528,15246.535316686106
2402,17143.366105684352
1006,15976.617977742251
283,16297.460256998656
443,13491.590476054627
540,13543.192245557168
2807,19493.602299548762
926,16614.8206775926
2966,17173.001769031136
4360,25526.904142754334
915,20664.131167956275
500,13535.643478500331
151,16155.118479925231
103,16811.74023230713
1620,25543.29741047947
2348,15772.042444096229
3590,15284.115439167572
2979,18290.55182799077
633,13372.952042345421
247,19973.32751732014
420,12808.194789213285
1448,20913.596073058692
3220,21667.654275850542
1345,19762.63508677084
3096,21365.611359924187
2787,22154.946228904268
1565,17824.944891064482
1876,20978.483841265803
4603,23487.233602957753
3632,15925.184694365242
382,19888.580727426383
1436,21892.620114244983
660,14825.495753962483
2380,16101.728917607776
3685,15529.573844213663
3662,18435.08373636577
4066,20726.046163318137
2442,16142.17754579355
643,14781.990112274367
299,16057.51458196612
805,23426.787615959965
2550,15339.295598045275
1216,18612.89703193647
865,21670.87264514094
239,20153.540346984908
4383,26004.331302955918
1164,15900.591512507923
2796,29436.272674075663
1878,21226.795670542906
903,20937.316416909784
4110,19442.095907442414
2415,16978.06703035388
1877,21226.795670542906
1444,20413.41073359374
4159,20328.37657606389
1033,17015.237292994287
1281,17025.22599728957
652,29237.217910842613
2644,13987.1377011309
2629,16085.765377620635
371,16073.19900611802
2771,21262.58115167045
61,17456.024931495736
568,13363.804421369645
3714,21884.371482034283
3678,16652.31711556593
3665,17839.280569758645
807,15926.355295407351
1074,13389.878478838027
1001,15375.42723732416
2282,18784.77522884875
3568,18385.188263998036
1222,15506.99915270573
4430,24835.098202120076
1873,21235.995924168205
1862,20732.724581239523
1421,19223.281355198094
2727,15621.611795209948
4228,22975.32204277921
990,23599.431985610772
1115,18720.209993725264
3614,17692.083634511502
4004,20979.911915526947
4667,22630.590635329525
3625,19069.39409041717
342,16057.51458196612
4210,19245.48531617358
1869,16731.855446561804
100,20190.9996653821
2284,16648.057480753505
14,19226.471245907782
3351,21970.20832296531
2093,21092.933011889414
1501,17727.022309391337
3046,24084.701854322542
3418,17156.436087151993
1089,14463.422884182906
214,17112.32446375534
1924,21479.50597354048
328,16323.607833768547
1972,21102.133265514713
4376,26408.772808304187
2181,19683.323487469053
1482,15983.395358374206
1321,15417.417700522576
4303,25905.824751202643
4462,25000.086262518096
2902,15517.753695587498
1891,20897.712641637543
4435,25329.990194227496
4643,22913.56004089806
4691,23312.018339374714
4587,23575.55682453689
